Date,IT Dep.,CostElement,Country,Budget
1/11/2020,Administration,Recognition,USA,23
1/12/2020,Administration,Recognition,USA,23
1/1/2020,Administration,Supplies,USA,458
1/2/2020,Administration,Supplies,USA,458
1/3/2020,Administration,Supplies,USA,458
1/4/2020,Administration,Supplies,USA,458
1/5/2020,Administration,Supplies,USA,458
1/6/2020,Administration,Supplies,USA,458
1/7/2020,Administration,Supplies,USA,458
1/8/2020,Administration,Supplies,USA,458
1/9/2020,Administration,Supplies,USA,458
1/10/2020,Administration,Supplies,USA,458
1/11/2020,Administration,Supplies,USA,458
1/12/2020,Administration,Supplies,USA,458
1/1/2020,Administration,Telecomm,USA,"3,000"
1/2/2020,Administration,Telecomm,USA,"3,000"
1/3/2020,Administration,Telecomm,USA,"3,000"
1/4/2020,Administration,Telecomm,USA,"3,000"
1/5/2020,Administration,Telecomm,USA,"3,000"
1/6/2020,Administration,Telecomm,USA,"3,000"
1/7/2020,Administration,Telecomm,USA,"3,000"
1/8/2020,Administration,Telecomm,USA,"3,000"
1/9/2020,Administration,Telecomm,USA,"3,000"
1/10/2020,Administration,Telecomm,USA,"3,000"
1/11/2020,Administration,Telecomm,USA,"3,000"
1/12/2020,Administration,Telecomm,USA,"3,000"
1/3/2020,Administration,Training,USA,"1,458"
1/4/2020,Administration,Training,USA,"1,458"
1/5/2020,Administration,Training,USA,"1,563"
1/6/2020,Administration,Training,USA,"1,563"
1/7/2020,Administration,Training,USA,"1,563"
1/8/2020,Administration,Training,USA,"1,458"
1/9/2020,Administration,Training,USA,"1,458"
1/10/2020,Administration,Training,USA,"1,458"
1/3/2020,Administration,Travel,USA,"18,750"
1/6/2020,Administration,Travel,USA,"18,750"
1/9/2020,Administration,Travel,USA,"18,750"
1/12/2020,Administration,Travel,USA,"18,750"
1/1/2020,Architecture,Depreciation,USA,693
1/2/2020,Architecture,Depreciation,USA,693
1/3/2020,Architecture,Depreciation,USA,693
1/4/2020,Architecture,Depreciation,USA,693
1/5/2020,Architecture,Depreciation,USA,693
1/6/2020,Architecture,Depreciation,USA,693
1/7/2020,Architecture,Depreciation,USA,693
1/8/2020,Architecture,Depreciation,USA,693
1/9/2020,Architecture,Depreciation,USA,693
1/10/2020,Architecture,Depreciation,USA,693
1/11/2020,Architecture,Depreciation,USA,693
1/12/2020,Architecture,Depreciation,USA,693
1/1/2020,Architecture,Employee Performance,USA,58
1/2/2020,Architecture,Employee Performance,USA,58
1/3/2020,Architecture,Employee Performance,USA,58
1/4/2020,Architecture,Employee Performance,USA,58
1/5/2020,Architecture,Employee Performance,USA,58
1/6/2020,Architecture,Employee Performance,USA,58
1/7/2020,Architecture,Employee Performance,USA,58
1/8/2020,Architecture,Employee Performance,USA,58
1/9/2020,Architecture,Employee Performance,USA,58
1/10/2020,Architecture,Employee Performance,USA,58
1/11/2020,Architecture,Employee Performance,USA,58
1/12/2020,Architecture,Employee Performance,USA,58
1/1/2020,Architecture,External Labor,USA,"1,265"
1/2/2020,Architecture,External Labor,USA,"1,265"
1/3/2020,Architecture,External Labor,USA,"1,265"
1/4/2020,Architecture,External Labor,USA,"1,265"
1/5/2020,Architecture,External Labor,USA,"1,265"
1/6/2020,Architecture,External Labor,USA,"1,265"
1/7/2020,Architecture,External Labor,USA,"1,265"
1/8/2020,Architecture,External Labor,USA,"1,265"
1/9/2020,Architecture,External Labor,USA,"1,265"
1/10/2020,Architecture,External Labor,USA,"1,265"
1/11/2020,Architecture,External Labor,USA,"1,265"
1/12/2020,Architecture,External Labor,USA,"1,265"
1/1/2020,Architecture,Hardware,USA,"1,000"
1/2/2020,Architecture,Hardware,USA,"1,000"
1/3/2020,Architecture,Hardware,USA,"1,000"
1/4/2020,Architecture,Hardware,USA,"1,000"
1/5/2020,Architecture,Hardware,USA,"1,000"
1/6/2020,Architecture,Hardware,USA,"1,000"
1/7/2020,Architecture,Hardware,USA,"1,000"
1/8/2020,Architecture,Hardware,USA,"1,000"
1/9/2020,Architecture,Hardware,USA,"1,000"
1/10/2020,Architecture,Hardware,USA,"1,000"
1/11/2020,Architecture,Hardware,USA,"1,000"
1/12/2020,Architecture,Hardware,USA,"1,000"
1/1/2020,Architecture,Hardware Maintenance,USA,15
1/2/2020,Architecture,Hardware Maintenance,USA,15
1/3/2020,Architecture,Hardware Maintenance,USA,15
1/4/2020,Architecture,Hardware Maintenance,USA,15
1/5/2020,Architecture,Hardware Maintenance,USA,15
1/6/2020,Architecture,Hardware Maintenance,USA,15
1/7/2020,Architecture,Hardware Maintenance,USA,15
1/8/2020,Architecture,Hardware Maintenance,USA,15
1/9/2020,Architecture,Hardware Maintenance,USA,15
1/10/2020,Architecture,Hardware Maintenance,USA,15
1/11/2020,Architecture,Hardware Maintenance,USA,15
1/12/2020,Architecture,Hardware Maintenance,USA,15
1/1/2020,Architecture,Internal Labor,USA,"40,259"
1/2/2020,Architecture,Internal Labor,USA,"41,063"
1/3/2020,Architecture,Internal Labor,USA,"44,855"
1/4/2020,Architecture,Internal Labor,USA,"41,232"
1/5/2020,Architecture,Internal Labor,USA,"41,232"
1/6/2020,Architecture,Internal Labor,USA,"41,232"
1/7/2020,Architecture,Internal Labor,USA,"41,300"
1/8/2020,Architecture,Internal Labor,USA,"41,149"
1/9/2020,Architecture,Internal Labor,USA,"40,889"
1/10/2020,Architecture,Internal Labor,USA,"41,325"
1/11/2020,Architecture,Internal Labor,USA,"41,192"
1/12/2020,Architecture,Internal Labor,USA,"41,184"
1/1/2020,Architecture,Other,USA,300
