Date,IT Dep.,CostElement,Country,Budget
1/3/2020,Data Centers,External Labor,Germany,"3,230"
1/4/2020,Data Centers,External Labor,Germany,"3,230"
1/5/2020,Data Centers,External Labor,Germany,"3,230"
1/6/2020,Data Centers,External Labor,Germany,"3,230"
1/7/2020,Data Centers,External Labor,Germany,"3,230"
1/8/2020,Data Centers,External Labor,Germany,"3,230"
1/9/2020,Data Centers,External Labor,Germany,"3,230"
1/10/2020,Data Centers,External Labor,Germany,"3,230"
1/11/2020,Data Centers,External Labor,Germany,"3,230"
1/12/2020,Data Centers,External Labor,Germany,"3,230"
1/1/2020,Data Centers,External Labor,Ireland,"84,848"
1/2/2020,Data Centers,External Labor,Ireland,"84,848"
1/3/2020,Data Centers,External Labor,Ireland,"84,848"
1/4/2020,Data Centers,External Labor,Ireland,"84,848"
1/5/2020,Data Centers,External Labor,Ireland,"84,848"
1/6/2020,Data Centers,External Labor,Ireland,"84,848"
1/7/2020,Data Centers,External Labor,Ireland,"84,848"
1/8/2020,Data Centers,External Labor,Ireland,"84,848"
1/9/2020,Data Centers,External Labor,Ireland,"84,848"
1/10/2020,Data Centers,External Labor,Ireland,"84,848"
1/11/2020,Data Centers,External Labor,Ireland,"84,848"
1/12/2020,Data Centers,External Labor,Ireland,"84,848"
1/1/2020,Data Centers,External Labor,United Kingdom,"8,334"
1/2/2020,Data Centers,External Labor,United Kingdom,"8,334"
1/3/2020,Data Centers,External Labor,United Kingdom,"3,585"
1/4/2020,Data Centers,External Labor,United Kingdom,"3,585"
1/5/2020,Data Centers,External Labor,United Kingdom,"3,585"
1/6/2020,Data Centers,External Labor,United Kingdom,"3,585"
1/7/2020,Data Centers,External Labor,United Kingdom,"3,585"
1/8/2020,Data Centers,External Labor,United Kingdom,"3,585"
1/9/2020,Data Centers,External Labor,United Kingdom,"3,585"
1/10/2020,Data Centers,External Labor,United Kingdom,"3,585"
1/11/2020,Data Centers,External Labor,United Kingdom,"3,585"
1/12/2020,Data Centers,External Labor,United Kingdom,"3,585"
1/1/2020,Data Centers,External Labor,USA,"298,211"
1/2/2020,Data Centers,External Labor,USA,"298,211"
1/3/2020,Data Centers,External Labor,USA,"322,211"
1/4/2020,Data Centers,External Labor,USA,"297,382"
1/5/2020,Data Centers,External Labor,USA,"297,382"
1/6/2020,Data Centers,External Labor,USA,"301,942"
1/7/2020,Data Centers,External Labor,USA,"301,822"
1/8/2020,Data Centers,External Labor,USA,"301,822"
1/9/2020,Data Centers,External Labor,USA,"299,663"
1/10/2020,Data Centers,External Labor,USA,"299,492"
1/11/2020,Data Centers,External Labor,USA,"299,492"
1/12/2020,Data Centers,External Labor,USA,"299,492"
1/1/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/2/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/3/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/4/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/5/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/6/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/7/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/8/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/9/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/10/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/11/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/12/2020,Data Centers,Hardware,United Kingdom,"42,331"
1/1/2020,Data Centers,Hardware,USA,"84,293"
1/2/2020,Data Centers,Hardware,USA,"84,293"
1/3/2020,Data Centers,Hardware,USA,"113,093"
1/4/2020,Data Centers,Hardware,USA,"105,593"
1/5/2020,Data Centers,Hardware,USA,"207,293"
1/6/2020,Data Centers,Hardware,USA,"107,093"
1/7/2020,Data Centers,Hardware,USA,"107,693"
1/8/2020,Data Centers,Hardware,USA,"93,293"
1/9/2020,Data Centers,Hardware,USA,"84,593"
1/10/2020,Data Centers,Hardware,USA,"4,500"
1/11/2020,Data Centers,Hardware,USA,"13,200"
1/12/2020,Data Centers,Hardware,USA,"4,500"
1/1/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/2/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/3/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/4/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/5/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/6/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/7/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/8/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/9/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/10/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/11/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/12/2020,Data Centers,Hardware Maintenance,Germany,"1,015"
1/1/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/2/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/3/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/4/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/5/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/6/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/7/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/8/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/9/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/10/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/11/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/12/2020,Data Centers,Hardware Maintenance,United Kingdom,"30,026"
1/1/2020,Data Centers,Hardware Maintenance,USA,"166,137"
1/2/2020,Data Centers,Hardware Maintenance,USA,"192,381"
1/3/2020,Data Centers,Hardware Maintenance,USA,"96,569"
1/4/2020,Data Centers,Hardware Maintenance,USA,"146,637"
1/5/2020,Data Centers,Hardware Maintenance,USA,"190,472"
1/6/2020,Data Centers,Hardware Maintenance,USA,"94,993"
1/7/2020,Data Centers,Hardware Maintenance,USA,"174,950"
1/8/2020,Data Centers,Hardware Maintenance,USA,"214,105"
1/9/2020,Data Centers,Hardware Maintenance,USA,"112,328"
1/10/2020,Data Centers,Hardware Maintenance,USA,"170,270"
1/11/2020,Data Centers,Hardware Maintenance,USA,"214,105"
1/12/2020,Data Centers,Hardware Maintenance,USA,"107,749"
1/1/2020,Data Centers,Internal Labor,Austria,"3,606"
1/2/2020,Data Centers,Internal Labor,Austria,"3,606"
1/3/2020,Data Centers,Internal Labor,Austria,"3,606"
1/4/2020,Data Centers,Internal Labor,Austria,"3,606"
1/5/2020,Data Centers,Internal Labor,Austria,"3,606"
1/6/2020,Data Centers,Internal Labor,Austria,"3,606"
1/7/2020,Data Centers,Internal Labor,Austria,"3,606"
1/8/2020,Data Centers,Internal Labor,Austria,"3,606"
1/9/2020,Data Centers,Internal Labor,Austria,"3,606"
1/10/2020,Data Centers,Internal Labor,Austria,"3,606"
1/11/2020,Data Centers,Internal Labor,Austria,"3,606"
1/12/2020,Data Centers,Internal Labor,Austria,"3,606"
1/1/2020,Data Centers,Internal Labor,Germany,"11,772"
1/2/2020,Data Centers,Internal Labor,Germany,"11,772"
1/3/2020,Data Centers,Internal Labor,Germany,"11,772"
1/4/2020,Data Centers,Internal Labor,Germany,"11,772"
1/5/2020,Data Centers,Internal Labor,Germany,"11,772"
1/6/2020,Data Centers,Internal Labor,Germany,"11,772"
1/7/2020,Data Centers,Internal Labor,Germany,"11,772"
1/8/2020,Data Centers,Internal Labor,Germany,"11,772"
1/9/2020,Data Centers,Internal Labor,Germany,"11,772"
1/10/2020,Data Centers,Internal Labor,Germany,"11,772"
1/11/2020,Data Centers,Internal Labor,Germany,"11,772"
1/12/2020,Data Centers,Internal Labor,Germany,"11,772"
1/1/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/2/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/3/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/4/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/5/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/6/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/7/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/8/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/9/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/10/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/11/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/12/2020,Data Centers,Internal Labor,Netherlands,"4,023"
1/1/2020,Data Centers,Internal Labor,Spain,"5,325"
1/2/2020,Data Centers,Internal Labor,Spain,"5,325"
1/3/2020,Data Centers,Internal Labor,Spain,"5,325"
1/4/2020,Data Centers,Internal Labor,Spain,"5,325"
1/5/2020,Data Centers,Internal Labor,Spain,"5,325"
1/6/2020,Data Centers,Internal Labor,Spain,"5,325"
1/7/2020,Data Centers,Internal Labor,Spain,"5,325"
1/8/2020,Data Centers,Internal Labor,Spain,"5,325"
1/9/2020,Data Centers,Internal Labor,Spain,"5,325"
1/10/2020,Data Centers,Internal Labor,Spain,"5,325"
1/11/2020,Data Centers,Internal Labor,Spain,"5,325"
1/12/2020,Data Centers,Internal Labor,Spain,"5,325"
1/1/2020,Data Centers,Internal Labor,United Kingdom,"36,583"
1/2/2020,Data Centers,Internal Labor,United Kingdom,"36,583"
1/3/2020,Data Centers,Internal Labor,United Kingdom,"36,583"
1/4/2020,Data Centers,Internal Labor,United Kingdom,"36,583"
1/5/2020,Data Centers,Internal Labor,United Kingdom,"36,583"
1/6/2020,Data Centers,Internal Labor,United Kingdom,"36,583"
1/7/2020,Data Centers,Internal Labor,United Kingdom,"36,583"
1/8/2020,Data Centers,Internal Labor,United Kingdom,"36,583"
1/9/2020,Data Centers,Internal Labor,United Kingdom,"35,833"
1/10/2020,Data Centers,Internal Labor,United Kingdom,"35,833"
1/11/2020,Data Centers,Internal Labor,United Kingdom,"35,833"
1/12/2020,Data Centers,Internal Labor,United Kingdom,"35,833"
1/1/2020,Data Centers,Internal Labor,USA,"131,531"
1/2/2020,Data Centers,Internal Labor,USA,"132,679"
1/3/2020,Data Centers,Internal Labor,USA,"144,204"
1/4/2020,Data Centers,Internal Labor,USA,"135,191"
1/5/2020,Data Centers,Internal Labor,USA,"135,191"
1/6/2020,Data Centers,Internal Labor,USA,"135,191"
1/7/2020,Data Centers,Internal Labor,USA,"136,233"
1/8/2020,Data Centers,Internal Labor,USA,"136,227"
1/9/2020,Data Centers,Internal Labor,USA,"136,024"
1/10/2020,Data Centers,Internal Labor,USA,"139,219"
1/11/2020,Data Centers,Internal Labor,USA,"138,559"
1/12/2020,Data Centers,Internal Labor,USA,"137,815"
1/1/2020,Data Centers,Other,Germany,589
1/2/2020,Data Centers,Other,Germany,589
1/3/2020,Data Centers,Other,Germany,589
1/4/2020,Data Centers,Other,Germany,589
1/5/2020,Data Centers,Other,Germany,589
1/6/2020,Data Centers,Other,Germany,589
1/7/2020,Data Centers,Other,Germany,589
1/8/2020,Data Centers,Other,Germany,589
1/9/2020,Data Centers,Other,Germany,589
1/10/2020,Data Centers,Other,Germany,589
1/11/2020,Data Centers,Other,Germany,589
1/12/2020,Data Centers,Other,Germany,589
1/1/2020,Data Centers,Other,United Kingdom,"2,700"
1/2/2020,Data Centers,Other,United Kingdom,"2,700"
1/3/2020,Data Centers,Other,United Kingdom,"2,700"
1/4/2020,Data Centers,Other,United Kingdom,"2,700"
1/5/2020,Data Centers,Other,United Kingdom,"2,700"
1/6/2020,Data Centers,Other,United Kingdom,"2,700"
1/7/2020,Data Centers,Other,United Kingdom,"2,700"
1/8/2020,Data Centers,Other,United Kingdom,"2,700"
1/9/2020,Data Centers,Other,United Kingdom,"2,700"
1/10/2020,Data Centers,Other,United Kingdom,"2,700"
1/11/2020,Data Centers,Other,United Kingdom,"2,700"
1/12/2020,Data Centers,Other,United Kingdom,"2,700"
1/2/2020,Data Centers,Other,USA,"1,500"
1/4/2020,Data Centers,Other,USA,"1,500"
1/7/2020,Data Centers,Other,USA,"1,500"
1/8/2020,Data Centers,Other,USA,"1,500"
1/3/2020,Data Centers,Project Expenses,USA,"6,876"
1/1/2020,Data Centers,Recognition,USA,64
1/2/2020,Data Centers,Recognition,USA,64
1/3/2020,Data Centers,Recognition,USA,64
1/4/2020,Data Centers,Recognition,USA,64
1/5/2020,Data Centers,Recognition,USA,64
1/6/2020,Data Centers,Recognition,USA,64
1/7/2020,Data Centers,Recognition,USA,64
1/8/2020,Data Centers,Recognition,USA,64
1/9/2020,Data Centers,Recognition,USA,64
1/10/2020,Data Centers,Recognition,USA,64
1/11/2020,Data Centers,Recognition,USA,64
1/12/2020,Data Centers,Recognition,USA,64
1/1/2020,Data Centers,Software,USA,"25,674"
1/2/2020,Data Centers,Software,USA,"25,674"
1/3/2020,Data Centers,Software,USA,"25,674"
1/4/2020,Data Centers,Software,USA,"25,674"
1/5/2020,Data Centers,Software,USA,"24,222"
1/6/2020,Data Centers,Software,USA,"13,886"
1/7/2020,Data Centers,Software,USA,"12,744"
1/8/2020,Data Centers,Software,USA,"12,744"
1/9/2020,Data Centers,Software,USA,"12,744"
1/10/2020,Data Centers,Software,USA,"11,644"
1/11/2020,Data Centers,Software,USA,"11,644"
1/12/2020,Data Centers,Software,USA,"11,644"
1/1/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/2/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/3/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/4/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/5/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/6/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/7/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/8/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/9/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/10/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/11/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/12/2020,Data Centers,Software Maintenance,United Kingdom,"11,743"
1/1/2020,Data Centers,Software Maintenance,USA,"112,690"
1/2/2020,Data Centers,Software Maintenance,USA,"110,775"
1/3/2020,Data Centers,Software Maintenance,USA,"139,760"
1/4/2020,Data Centers,Software Maintenance,USA,"115,740"
1/5/2020,Data Centers,Software Maintenance,USA,"111,598"
1/6/2020,Data Centers,Software Maintenance,USA,"140,456"
1/7/2020,Data Centers,Software Maintenance,USA,"127,583"
1/8/2020,Data Centers,Software Maintenance,USA,"136,297"
1/9/2020,Data Centers,Software Maintenance,USA,"133,281"
1/10/2020,Data Centers,Software Maintenance,USA,"113,122"
1/11/2020,Data Centers,Software Maintenance,USA,"119,410"
1/12/2020,Data Centers,Software Maintenance,USA,"122,484"
1/1/2020,Data Centers,Supplies,Austria,49
1/2/2020,Data Centers,Supplies,Austria,49
1/3/2020,Data Centers,Supplies,Austria,49
1/4/2020,Data Centers,Supplies,Austria,49
1/5/2020,Data Centers,Supplies,Austria,49
1/6/2020,Data Centers,Supplies,Austria,49
1/7/2020,Data Centers,Supplies,Austria,49
1/8/2020,Data Centers,Supplies,Austria,49
1/9/2020,Data Centers,Supplies,Austria,49
1/10/2020,Data Centers,Supplies,Austria,49
1/11/2020,Data Centers,Supplies,Austria,49
1/12/2020,Data Centers,Supplies,Austria,49
1/1/2020,Data Centers,Supplies,Germany,49
1/2/2020,Data Centers,Supplies,Germany,49
1/3/2020,Data Centers,Supplies,Germany,49
1/4/2020,Data Centers,Supplies,Germany,49
1/5/2020,Data Centers,Supplies,Germany,49
1/6/2020,Data Centers,Supplies,Germany,49
1/7/2020,Data Centers,Supplies,Germany,49
1/8/2020,Data Centers,Supplies,Germany,49
1/9/2020,Data Centers,Supplies,Germany,49
1/10/2020,Data Centers,Supplies,Germany,49
1/11/2020,Data Centers,Supplies,Germany,49
1/12/2020,Data Centers,Supplies,Germany,49
1/1/2020,Data Centers,Supplies,Spain,24
1/2/2020,Data Centers,Supplies,Spain,24
1/3/2020,Data Centers,Supplies,Spain,24
1/4/2020,Data Centers,Supplies,Spain,24
1/5/2020,Data Centers,Supplies,Spain,24
1/6/2020,Data Centers,Supplies,Spain,24
1/7/2020,Data Centers,Supplies,Spain,24
1/8/2020,Data Centers,Supplies,Spain,24
1/9/2020,Data Centers,Supplies,Spain,24
1/10/2020,Data Centers,Supplies,Spain,24
1/11/2020,Data Centers,Supplies,Spain,24
1/12/2020,Data Centers,Supplies,Spain,24
1/1/2020,Data Centers,Supplies,United Kingdom,248
1/2/2020,Data Centers,Supplies,United Kingdom,248
1/3/2020,Data Centers,Supplies,United Kingdom,248
1/4/2020,Data Centers,Supplies,United Kingdom,248
1/5/2020,Data Centers,Supplies,United Kingdom,248
1/6/2020,Data Centers,Supplies,United Kingdom,248
1/7/2020,Data Centers,Supplies,United Kingdom,248
1/8/2020,Data Centers,Supplies,United Kingdom,248
1/9/2020,Data Centers,Supplies,United Kingdom,248
1/10/2020,Data Centers,Supplies,United Kingdom,248
1/11/2020,Data Centers,Supplies,United Kingdom,248
1/12/2020,Data Centers,Supplies,United Kingdom,248
1/1/2020,Data Centers,Supplies,USA,750
1/2/2020,Data Centers,Supplies,USA,750
1/3/2020,Data Centers,Supplies,USA,750
1/4/2020,Data Centers,Supplies,USA,750
1/5/2020,Data Centers,Supplies,USA,750
1/6/2020,Data Centers,Supplies,USA,750
1/7/2020,Data Centers,Supplies,USA,750
1/8/2020,Data Centers,Supplies,USA,750
1/9/2020,Data Centers,Supplies,USA,750
1/10/2020,Data Centers,Supplies,USA,750
1/11/2020,Data Centers,Supplies,USA,750
1/12/2020,Data Centers,Supplies,USA,750
1/1/2020,Data Centers,Taxes,USA,"11,550"
1/2/2020,Data Centers,Taxes,USA,"11,550"
1/3/2020,Data Centers,Taxes,USA,"11,550"
1/4/2020,Data Centers,Taxes,USA,"11,550"
1/5/2020,Data Centers,Taxes,USA,"11,550"
1/6/2020,Data Centers,Taxes,USA,"11,550"
1/7/2020,Data Centers,Taxes,USA,"11,550"
1/8/2020,Data Centers,Taxes,USA,"11,550"
1/9/2020,Data Centers,Taxes,USA,"11,550"
1/10/2020,Data Centers,Taxes,USA,"11,550"
1/11/2020,Data Centers,Taxes,USA,"11,550"
1/12/2020,Data Centers,Taxes,USA,"11,550"
1/1/2020,Data Centers,Telecomm,Austria,84
1/2/2020,Data Centers,Telecomm,Austria,84
1/3/2020,Data Centers,Telecomm,Austria,84
1/4/2020,Data Centers,Telecomm,Austria,84
1/5/2020,Data Centers,Telecomm,Austria,84
1/6/2020,Data Centers,Telecomm,Austria,84
1/7/2020,Data Centers,Telecomm,Austria,84
1/8/2020,Data Centers,Telecomm,Austria,84
1/9/2020,Data Centers,Telecomm,Austria,84
1/10/2020,Data Centers,Telecomm,Austria,84
1/11/2020,Data Centers,Telecomm,Austria,84
1/12/2020,Data Centers,Telecomm,Austria,84
1/1/2020,Data Centers,Telecomm,Germany,84
1/2/2020,Data Centers,Telecomm,Germany,84
1/3/2020,Data Centers,Telecomm,Germany,84
1/4/2020,Data Centers,Telecomm,Germany,84
1/5/2020,Data Centers,Telecomm,Germany,84
1/6/2020,Data Centers,Telecomm,Germany,84
1/7/2020,Data Centers,Telecomm,Germany,84
1/8/2020,Data Centers,Telecomm,Germany,84
1/9/2020,Data Centers,Telecomm,Germany,84
1/10/2020,Data Centers,Telecomm,Germany,84
1/11/2020,Data Centers,Telecomm,Germany,84
1/12/2020,Data Centers,Telecomm,Germany,84
1/1/2020,Data Centers,Telecomm,Spain,49
1/2/2020,Data Centers,Telecomm,Spain,49
1/3/2020,Data Centers,Telecomm,Spain,49
1/4/2020,Data Centers,Telecomm,Spain,49
1/5/2020,Data Centers,Telecomm,Spain,49
1/6/2020,Data Centers,Telecomm,Spain,49
1/7/2020,Data Centers,Telecomm,Spain,49
1/8/2020,Data Centers,Telecomm,Spain,49
1/9/2020,Data Centers,Telecomm,Spain,49
1/10/2020,Data Centers,Telecomm,Spain,49
1/11/2020,Data Centers,Telecomm,Spain,49
1/12/2020,Data Centers,Telecomm,Spain,49
1/1/2020,Data Centers,Telecomm,United Kingdom,140
1/2/2020,Data Centers,Telecomm,United Kingdom,140
1/3/2020,Data Centers,Telecomm,United Kingdom,140
1/4/2020,Data Centers,Telecomm,United Kingdom,140
1/5/2020,Data Centers,Telecomm,United Kingdom,140
1/6/2020,Data Centers,Telecomm,United Kingdom,140
1/7/2020,Data Centers,Telecomm,United Kingdom,140
1/8/2020,Data Centers,Telecomm,United Kingdom,140
1/9/2020,Data Centers,Telecomm,United Kingdom,140
1/10/2020,Data Centers,Telecomm,United Kingdom,140
1/11/2020,Data Centers,Telecomm,United Kingdom,140
1/12/2020,Data Centers,Telecomm,United Kingdom,140
1/1/2020,Data Centers,Telecomm,USA,"5,250"
1/2/2020,Data Centers,Telecomm,USA,"5,250"
1/3/2020,Data Centers,Telecomm,USA,"5,250"
1/4/2020,Data Centers,Telecomm,USA,"5,250"
1/5/2020,Data Centers,Telecomm,USA,"5,250"
1/6/2020,Data Centers,Telecomm,USA,"5,250"
1/7/2020,Data Centers,Telecomm,USA,"5,250"
1/8/2020,Data Centers,Telecomm,USA,"5,250"
1/9/2020,Data Centers,Telecomm,USA,"5,250"
1/10/2020,Data Centers,Telecomm,USA,"5,250"
1/11/2020,Data Centers,Telecomm,USA,"5,250"
1/12/2020,Data Centers,Telecomm,USA,"5,250"
1/1/2020,Data Centers,Training,Austria,170
1/2/2020,Data Centers,Training,Austria,170
1/3/2020,Data Centers,Training,Austria,170
1/4/2020,Data Centers,Training,Austria,170
1/5/2020,Data Centers,Training,Austria,170
1/6/2020,Data Centers,Training,Austria,170
1/7/2020,Data Centers,Training,Austria,170
1/8/2020,Data Centers,Training,Austria,170
1/9/2020,Data Centers,Training,Austria,170
1/10/2020,Data Centers,Training,Austria,170
1/11/2020,Data Centers,Training,Austria,170
1/12/2020,Data Centers,Training,Austria,170
1/1/2020,Data Centers,Training,Germany,170
1/2/2020,Data Centers,Training,Germany,170
1/3/2020,Data Centers,Training,Germany,170
1/4/2020,Data Centers,Training,Germany,170
1/5/2020,Data Centers,Training,Germany,170
1/6/2020,Data Centers,Training,Germany,170
1/7/2020,Data Centers,Training,Germany,170
1/8/2020,Data Centers,Training,Germany,170
1/9/2020,Data Centers,Training,Germany,170
1/10/2020,Data Centers,Training,Germany,170
1/11/2020,Data Centers,Training,Germany,170
1/12/2020,Data Centers,Training,Germany,170
1/1/2020,Data Centers,Training,Spain,24
1/2/2020,Data Centers,Training,Spain,24
1/3/2020,Data Centers,Training,Spain,24
1/4/2020,Data Centers,Training,Spain,24
1/5/2020,Data Centers,Training,Spain,24
1/6/2020,Data Centers,Training,Spain,24
1/7/2020,Data Centers,Training,Spain,24
1/8/2020,Data Centers,Training,Spain,24
1/9/2020,Data Centers,Training,Spain,24
1/10/2020,Data Centers,Training,Spain,24
1/11/2020,Data Centers,Training,Spain,24
1/12/2020,Data Centers,Training,Spain,24
1/1/2020,Data Centers,Training,United Kingdom,413
1/2/2020,Data Centers,Training,United Kingdom,413
1/3/2020,Data Centers,Training,United Kingdom,413
1/4/2020,Data Centers,Training,United Kingdom,413
1/5/2020,Data Centers,Training,United Kingdom,413
1/6/2020,Data Centers,Training,United Kingdom,413
1/7/2020,Data Centers,Training,United Kingdom,413
1/8/2020,Data Centers,Training,United Kingdom,413
1/9/2020,Data Centers,Training,United Kingdom,413
1/10/2020,Data Centers,Training,United Kingdom,413
1/11/2020,Data Centers,Training,United Kingdom,413
1/12/2020,Data Centers,Training,United Kingdom,413
1/1/2020,Data Centers,Training,USA,900
1/2/2020,Data Centers,Training,USA,"3,600"
1/3/2020,Data Centers,Training,USA,600
1/4/2020,Data Centers,Training,USA,900
1/5/2020,Data Centers,Training,USA,"3,600"
1/6/2020,Data Centers,Training,USA,600
1/7/2020,Data Centers,Training,USA,900
1/8/2020,Data Centers,Training,USA,"3,600"
1/9/2020,Data Centers,Training,USA,600
1/10/2020,Data Centers,Training,USA,900
1/11/2020,Data Centers,Training,USA,"3,600"
1/12/2020,Data Centers,Training,USA,600
1/1/2020,Data Centers,Travel,Austria,72
1/2/2020,Data Centers,Travel,Austria,72
1/3/2020,Data Centers,Travel,Austria,72
1/4/2020,Data Centers,Travel,Austria,72
1/5/2020,Data Centers,Travel,Austria,72
1/6/2020,Data Centers,Travel,Austria,72
1/7/2020,Data Centers,Travel,Austria,72
1/8/2020,Data Centers,Travel,Austria,72
1/9/2020,Data Centers,Travel,Austria,72
1/10/2020,Data Centers,Travel,Austria,72
1/11/2020,Data Centers,Travel,Austria,72
1/12/2020,Data Centers,Travel,Austria,72
1/1/2020,Data Centers,Travel,Germany,408
1/2/2020,Data Centers,Travel,Germany,408
1/3/2020,Data Centers,Travel,Germany,408
1/4/2020,Data Centers,Travel,Germany,408
1/5/2020,Data Centers,Travel,Germany,408
1/6/2020,Data Centers,Travel,Germany,408
1/7/2020,Data Centers,Travel,Germany,408
1/8/2020,Data Centers,Travel,Germany,408
1/9/2020,Data Centers,Travel,Germany,408
1/10/2020,Data Centers,Travel,Germany,408
1/11/2020,Data Centers,Travel,Germany,408
1/12/2020,Data Centers,Travel,Germany,408
1/1/2020,Data Centers,Travel,Spain,193
1/2/2020,Data Centers,Travel,Spain,193
1/3/2020,Data Centers,Travel,Spain,193
1/4/2020,Data Centers,Travel,Spain,193
1/5/2020,Data Centers,Travel,Spain,193
1/6/2020,Data Centers,Travel,Spain,193
1/7/2020,Data Centers,Travel,Spain,193
1/8/2020,Data Centers,Travel,Spain,193
1/9/2020,Data Centers,Travel,Spain,193
1/10/2020,Data Centers,Travel,Spain,193
1/11/2020,Data Centers,Travel,Spain,193
1/12/2020,Data Centers,Travel,Spain,193
1/1/2020,Data Centers,Travel,United Kingdom,"1,553"
1/2/2020,Data Centers,Travel,United Kingdom,"1,553"
1/3/2020,Data Centers,Travel,United Kingdom,"1,553"
1/4/2020,Data Centers,Travel,United Kingdom,"1,553"
1/5/2020,Data Centers,Travel,United Kingdom,"1,553"
1/6/2020,Data Centers,Travel,United Kingdom,"1,553"
1/7/2020,Data Centers,Travel,United Kingdom,"1,553"
1/8/2020,Data Centers,Travel,United Kingdom,"1,553"
1/9/2020,Data Centers,Travel,United Kingdom,"1,553"
1/10/2020,Data Centers,Travel,United Kingdom,"1,553"
1/11/2020,Data Centers,Travel,United Kingdom,"1,553"
1/12/2020,Data Centers,Travel,United Kingdom,"1,553"
1/1/2020,Data Centers,Travel,USA,"2,145"
1/2/2020,Data Centers,Travel,USA,"4,245"
1/3/2020,Data Centers,Travel,USA,"2,145"
1/4/2020,Data Centers,Travel,USA,"2,145"
1/5/2020,Data Centers,Travel,USA,"3,645"
1/6/2020,Data Centers,Travel,USA,"2,745"
1/7/2020,Data Centers,Travel,USA,"2,145"
1/8/2020,Data Centers,Travel,USA,"3,645"
1/9/2020,Data Centers,Travel,USA,"2,745"
1/10/2020,Data Centers,Travel,USA,"2,745"
1/11/2020,Data Centers,Travel,USA,"3,645"
1/12/2020,Data Centers,Travel,USA,"2,145"
1/1/2020,Data Management,Internal Labor,Germany,"4,023"
1/2/2020,Data Management,Internal Labor,Germany,"4,023"
1/3/2020,Data Management,Internal Labor,Germany,"4,023"
1/4/2020,Data Management,Internal Labor,Germany,"4,023"
1/5/2020,Data Management,Internal Labor,Germany,"4,023"
1/6/2020,Data Management,Internal Labor,Germany,"4,023"
1/7/2020,Data Management,Internal Labor,Germany,"4,023"
1/8/2020,Data Management,Internal Labor,Germany,"4,023"
